1,60,1,1,2,1,0,11,1,1,0,1,2582,3.412,99,99
1,60,1,1,2,1,1,3,2,0,0,0,1648,3.217,2,2
1,60,1,1,2,2,0,3,3,1,11,0,1696,3.2294,99,99
1,60,1,1,2,2,1,3,4,0,11,0,672,2.8274,5,3
1,60,1,1,2,1,1,7,5,1,111,0,996,2.9983,6,3
1,60,1,1,2,1,0,7,6,0,111,0,565,2.752,99,99
1,60,1,1,2,2,0,7,7,1,11,0,638,2.8048,99,99
1,60,1,1,2,2,1,7,8,0,11,0,952,2.9786,6,1
1,60,1,1,2,1,1,11,9,1,111,0,995,2.9978,9,3
1,60,1,1,2,1,0,3,10,0,111,0,584,2.7664,99,99
1,60,1,1,2,2,0,11,11,1,11,1,560,2.7482,99,99
1,60,1,1,2,2,1,11,12,0,11,1,1083,3.0346,5,1
